STT,ID_img,ppm,note
23,cJ3gh_ngochanpham274@gmail.com_2024-11-20 15_41_53_NO2_5ppm_003_Xiaomi test__.jpg,5,003_Xiaomi test__.jpg
24,"dgLFo_ngochanpham274@gmail.com_2024-11-20 15_24_21_NO2_0,25ppm_003_xiaomi test__.jpg",0.25,003_xiaomi test__.jpg
25,"dKK1e_ngochanpham274@gmail.com_2024-11-20 15_11_43_NO2_0,025ppm_001_xiaomi test__.jpg",0.025,001_xiaomi test__.jpg
26,"Dt5IV_ngochanpham274@gmail.com_2024-11-20 15_20_10_NO2_0,09ppm_003_xiaomi test__.jpg",0.09,003_xiaomi test__.jpg
27,"duxmC_ngochanpham274@gmail.com_2024-11-20 15_29_41_NO2_0,6ppm_002_xiaomi test__.jpg",0.6,002_xiaomi test__.jpg
28,Dw8Ul_ngochanpham274@gmail.com_2024-11-20 15_41_24_NO2_5ppm_001_Xiaomi test__.jpg,5,001_Xiaomi test__.jpg
29,"f0aCu_ngochanpham274@gmail.com_2024-11-20 15_13_45_NO2_0,04ppm_003_xiaomi test__.jpg",0.04,003_xiaomi test__.jpg
30,"FDfqF_ngochanpham274@gmail.com_2024-11-20 15_08_35_NO2_0,01ppm_001_xiaomi test__.jpg",0.01,001_xiaomi test__.jpg
31,"fodFA_ngochanpham274@gmail.com_2024-11-20 15_13_12_NO2_0,04ppm_001_xiaomi test__.jpg",0.04,001_xiaomi test__.jpg
32,"FOMYi_ngochanpham274@gmail.com_2024-11-20 15_33_12_NO2_0,9ppm_003_xiaomi test__.jpg",0.9,003_xiaomi test__.jpg
33,"FpBRC_ngochanpham274@gmail.com_2024-11-20 15_22_55_NO2_0,2ppm_003_xiaomi test__.jpg",0.2,003_xiaomi test__.jpg
34,GQVZI_ngochanpham274@gmail.com_2024-11-20 15_35_52_NO2_2ppm_002_xiaomi test__.jpg,2,002_xiaomi test__.jpg
35,H0c4M_ngochanpham274@gmail.com_2024-11-20 15_35_29_NO2_2ppm_001_xiaomi test__.jpg,2,001_xiaomi test__.jpg
36,"H0LN0_ngochanpham274@gmail.com_2024-11-20 15_32_56_NO2_0,9ppm_002_xiaomi test__.jpg",0.9,002_xiaomi test__.jpg
37,hWazu_ngochanpham274@gmail.com_2024-11-20 15_49_34_NO2_10ppm_003_Xiaomi test__.jpg,10,003_Xiaomi test__.jpg
38,"hZp8e_ngochanpham274@gmail.com_2024-11-20 15_27_29_NO2_0,5ppm_001_xiaomi test__.jpg",0.5,001_xiaomi test__.jpg
39,"i0ROk_ngochanpham274@gmail.com_2024-11-20 15_32_41_NO2_0,9ppm_001_xiaomi test__.jpg",0.9,001_xiaomi test__.jpg
40,I689V_ngochanpham274@gmail.com_2024-11-20 15_46_23_NO2_8ppm_002_Xiaomi test__.jpg,8,002_Xiaomi test__.jpg
41,"IA2H8_ngochanpham274@gmail.com_2024-11-20 15_19_06_NO2_0,08ppm_003_xiaomi test__.jpg",0.08,003_xiaomi test__.jpg
42,"IbifN_ngochanpham274@gmail.com_2024-11-20 15_12_04_NO2_0,025ppm_002_xiaomi test__.jpg",0.025,002_xiaomi test__.jpg
43,idSkO_ngochanpham274@gmail.com_2024-11-20 15_34_29_NO2_1ppm_002_xiaomi test__.jpg,1,002_xiaomi test__.jpg
44,"jpd1b_ngochanpham274@gmail.com_2024-11-20 15_18_52_NO2_0,08ppm_002_xiaomi test__.jpg",0.08,002_xiaomi test__.jpg
45,"JtWSh_ngochanpham274@gmail.com_2024-11-20 15_45_06_NO2_7,5ppm_002_Xiaomi test__.jpg",7.5,002_Xiaomi test__.jpg
46,"KcaL7_ngochanpham274@gmail.com_2024-11-20 15_25_11_NO2_0,4ppm_001_xiaomi test__.jpg",0.4,001_xiaomi test__.jpg
47,"kJIO3_ngochanpham274@gmail.com_2024-11-20 15_21_02_NO2_0,1ppm_001_xiaomi test__.jpg",0.1,001_xiaomi test__.jpg
48,"KxToh_ngochanpham274@gmail.com_2024-11-20 15_16_47_NO2_0,075ppm_002_xiaomi test__.jpg",0.075,002_xiaomi test__.jpg
49,"LIUEL_ngochanpham274@gmail.com_2024-11-20 15_21_38_NO2_0,1ppm_003_xiaomi test__.jpg",0.1,003_xiaomi test__.jpg
50,"Lqu3H_ngochanpham274@gmail.com_2024-11-20 15_28_33_NO2_0,6ppm_001_xiaomi test__.jpg",0.6,001_xiaomi test__.jpg
51,N3r8F_ngochanpham274@gmail.com_2024-11-20 15_45_56_NO2_8ppm_001_Xiaomi test__.jpg,8,001_Xiaomi test__.jpg
52,"Ow5wo_ngochanpham274@gmail.com_2024-11-20 15_32_08_NO2_0,8ppm_003_xiaomi test__.jpg",0.8,003_xiaomi test__.jpg
53,"pDiiV_ngochanpham274@gmail.com_2024-11-20 15_21_21_NO2_0,1ppm_002_xiaomi test__.jpg",0.1,002_xiaomi test__.jpg
54,"pJjmc_ngochanpham274@gmail.com_2024-11-20 15_17_34_NO2_0,08ppm_001_xiaomi test__.jpg",0.08,001_xiaomi test__.jpg
55,pOUJD_ngochanpham274@gmail.com_2024-11-20 15_47_26_NO2_9ppm_002_Xiaomi test__.jpg,9,002_Xiaomi test__.jpg
56,pPeyJ_ngochanpham274@gmail.com_2024-11-20 15_47_08_NO2_9ppm_001_Xiaomi test__.jpg,9,001_Xiaomi test__.jpg
57,"Q2Cs0_ngochanpham274@gmail.com_2024-11-20 15_44_45_NO2_7,5ppm_001_Xiaomi test__.jpg",7.5,001_Xiaomi test__.jpg
58,"qcN7n_ngochanpham274@gmail.com_2024-11-20 15_26_06_NO2_0,4ppm_003_xiaomi test__.jpg",0.4,003_xiaomi test__.jpg
59,"qgXdx_ngochanpham274@gmail.com_2024-11-20 15_15_52_NO2_0,06ppm_003_xiaomi test__.jpg",0.06,003_xiaomi test__.jpg
60,"QkPij_ngochanpham274@gmail.com_2024-11-20 15_10_19_NO2_0,02ppm_001_xiaomi test__.jpg",0.02,001_xiaomi test__.jpg
61,"qtnga_ngochanpham274@gmail.com_2024-11-20 15_14_34_NO2_0,05ppm_002_xiaomi test__.jpg",0.05,002_xiaomi test__.jpg
62,"rsmxK_ngochanpham274@gmail.com_2024-11-20 15_09_30_NO2_0,01ppm_003_xiaomi test__.jpg",0.01,003_xiaomi test__.jpg
63,"s0mcQ_ngochanpham274@gmail.com_2024-11-20 15_08_55_NO2_0,01ppm_002_xiaomi test__.jpg",0.01,002_xiaomi test__.jpg
64,"tlaQL_ngochanpham274@gmail.com_2024-11-20 15_13_28_NO2_0,04ppm_002_xiaomi test__.jpg",0.04,002_xiaomi test__.jpg
65,"TPoEn_ngochanpham274@gmail.com_2024-11-20 15_30_59_NO2_0,75ppm_003_xiaomi test__.jpg",0.75,003_xiaomi test__.jpg
66,ubPJ7_ngochanpham274@gmail.com_2024-11-20 15_42_58_NO2_6ppm_001_Xiaomi test__.jpg,6,001_Xiaomi test__.jpg
67,"V4QdG_ngochanpham274@gmail.com_2024-11-20 15_23_40_NO2_0,25ppm_001_xiaomi test__.jpg",0.25,001_xiaomi test__.jpg
68,v7E0x_ngochanpham274@gmail.com_2024-11-20 15_49_15_NO2_10ppm_002_Xiaomi test__.jpg,10,002_Xiaomi test__.jpg
69,"Va4Vw_ngochanpham274@gmail.com_2024-11-20 15_16_27_NO2_0,075ppm_001_xiaomi test__.jpg",0.075,001_xiaomi test__.jpg
70,"w1BXL_ngochanpham274@gmail.com_2024-11-20 15_15_38_NO2_0,06ppm_002_xiaomi test__.jpg",0.06,002_xiaomi test__.jpg
71,"WjHGT_ngochanpham274@gmail.com_2024-11-20 15_25_35_NO2_0,4ppm_002_xiaomi test__.jpg",0.4,002_xiaomi test__.jpg
72,WN9cp_ngochanpham274@gmail.com_2024-11-20 15_46_38_NO2_8ppm_003_Xiaomi test__.jpg,8,003_Xiaomi test__.jpg
73,WqOvf_ngochanpham274@gmail.com_2024-11-20 15_48_36_NO2_9ppm_003_Xiaomi test__.jpg,9,003_Xiaomi test__.jpg
74,"wR3hD_ngochanpham274@gmail.com_2024-11-20 15_22_34_NO2_0,2ppm_002_xiaomi test__.jpg",0.2,002_xiaomi test__.jpg
75,WXpzc_ngochanpham274@gmail.com_2024-11-20 15_35_13_NO2_2ppm_001_xiaomi test__.jpg,2,001_xiaomi test__.jpg
76,"xCcRf_ngochanpham274@gmail.com_2024-11-20 15_30_46_NO2_0,75ppm_002_xiaomi test__.jpg",0.75,002_xiaomi test__.jpg
77,"XklP3_ngochanpham274@gmail.com_2024-11-20 15_14_19_NO2_0,05ppm_001_xiaomi test__.jpg",0.05,001_xiaomi test__.jpg
78,xy27n_ngochanpham274@gmail.com_2024-11-20 15_43_50_NO2_6ppm_003_Xiaomi test__.jpg,6,003_Xiaomi test__.jpg
79,"y8U2i_ngochanpham274@gmail.com_2024-11-20 15_27_49_NO2_0,5ppm_002_xiaomi test__.jpg",0.5,002_xiaomi test__.jpg
80,"YaA2b_ngochanpham274@gmail.com_2024-11-20 15_17_03_NO2_0,075ppm_003_xiaomi test__.jpg",0.075,003_xiaomi test__.jpg
81,"ydFwL_ngochanpham274@gmail.com_2024-11-20 15_38_48_NO2_2,5ppm_003_Xiaomi test__.jpg",2.5,003_Xiaomi test__.jpg
82,"Ydlmt_ngochanpham274@gmail.com_2024-11-20 15_10_48_NO2_0,02ppm_002_xiaomi test__.jpg",0.02,002_xiaomi test__.jpg
83,"ZlWUM_ngochanpham274@gmail.com_2024-11-20 15_22_12_NO2_0,2ppm_001_xiaomi test__.jpg",0.2,001_xiaomi test__.jpg
84,ZLZI0_ngochanpham274@gmail.com_2024-11-20 15_41_38_NO2_5ppm_002_Xiaomi test__.jpg,5,002_Xiaomi test__.jpg
85,"ZsIMu_ngochanpham274@gmail.com_2024-11-20 15_31_34_NO2_0,8ppm_001_xiaomi test__.jpg",0.8,001_xiaomi test__.jpg
86,ZwO35_ngochanpham274@gmail.com_2024-11-20 15_40_42_NO2_4ppm_003_Xiaomi test__.jpg,4,003_Xiaomi test__.jpg
