STT,ID_img,ppm,note
22,Dptda_ngochanpham274@gmail.com_2024-12-12 10_30_11_No2-_0.05ppm_001_Nokia test_10.8768404_106.6782455.jpg,0.05,001_Nokia test_10.8768404_106.6782455.jpg
23,ebECT_ngochanpham274@gmail.com_2024-12-12 10_36_59_No2-_0.4ppm_001_Nokia test_10.8768404_106.6782455.jpg,0.4,001_Nokia test_10.8768404_106.6782455.jpg
24,eDWE3_ngochanpham274@gmail.com_2024-12-12 10_34_26_No2-_0.09ppm_003_Nokia test_10.8768404_106.6782455.jpg,0.09,003_Nokia test_10.8768404_106.6782455.jpg
25,ePvQO_ngochanpham274@gmail.com_2024-12-12 10_41_50_No2-_1ppm_003_Nokia test_10.876824_106.6782506.jpg,1,003_Nokia test_10.876824_106.6782506.jpg
26,eZw4m_ngochanpham274@gmail.com_2024-12-12 10_38_51_No2-_0.75ppm_001_Nokia test_10.8768404_106.6782455.jpg,0.75,001_Nokia test_10.8768404_106.6782455.jpg
27,Foww7_ngochanpham274@gmail.com_2024-12-12 10_42_36_No2-_2.5ppm_001_Nokia test_10.876824_106.6782506.jpg,2.5,001_Nokia test_10.876824_106.6782506.jpg
28,gAf6L_ngochanpham274@gmail.com_2024-12-12 10_28_14_No2-_0.025ppm_003_Nokia test_10.8768404_106.6782455.jpg,0.025,003_Nokia test_10.8768404_106.6782455.jpg
29,GB9VU_ngochanpham274@gmail.com_2024-12-12 10_44_55_No2-_7.5ppm_002_Nokia test_10.876824_106.6782506.jpg,7.5,002_Nokia test_10.876824_106.6782506.jpg
30,GZODO_ngochanpham274@gmail.com_2024-12-12 10_42_11_No2-_2ppm_002_Nokia test_10.876824_106.6782506.jpg,2,002_Nokia test_10.876824_106.6782506.jpg
31,hkRG0_ngochanpham274@gmail.com_2024-12-12 10_34_09_No2-_0.09ppm_001_Nokia test_10.8768404_106.6782455.jpg,0.09,001_Nokia test_10.8768404_106.6782455.jpg
32,HN4l8_ngochanpham274@gmail.com_2024-12-12 10_28_00_No2-_0.025ppm_002_Nokia test_10.8768404_106.6782455.jpg,0.025,002_Nokia test_10.8768404_106.6782455.jpg
33,HRS2o_ngochanpham274@gmail.com_2024-12-12 10_44_46_No2-_7.5ppm_001_Nokia test_10.876824_106.6782506.jpg,7.5,001_Nokia test_10.876824_106.6782506.jpg
34,hZdXD_ngochanpham274@gmail.com_2024-12-12 10_36_27_No2-_0.25ppm_002_Nokia test_10.8768404_106.6782455.jpg,0.25,002_Nokia test_10.8768404_106.6782455.jpg
35,iYJDE_ngochanpham274@gmail.com_2024-12-12 10_38_25_No2-_0.6ppm_002_Nokia test_10.8768404_106.6782455.jpg,0.6,002_Nokia test_10.8768404_106.6782455.jpg
36,j0VY6_ngochanpham274@gmail.com_2024-12-12 10_43_43_No2-_5ppm_001_Nokia test_10.876824_106.6782506.jpg,5,001_Nokia test_10.876824_106.6782506.jpg
37,JcEUu_ngochanpham274@gmail.com_2024-12-12 10_36_17_No2-_0.25ppm_001_Nokia test_10.8768404_106.6782455.jpg,0.25,001_Nokia test_10.8768404_106.6782455.jpg
38,jdkEf_ngochanpham274@gmail.com_2024-12-12 10_35_38_No2-_0.2ppm_001_Nokia test_10.8768404_106.6782455.jpg,0.2,001_Nokia test_10.8768404_106.6782455.jpg
39,jfuH6_ngochanpham274@gmail.com_2024-12-12 10_46_40_No2-_10ppm_002_Nokia test_10.876824_106.6782506.jpg,10,002_Nokia test_10.876824_106.6782506.jpg
40,JZOfk_ngochanpham274@gmail.com_2024-12-12 10_43_30_No2-_4ppm_003_Nokia test_10.876824_106.6782506.jpg,4,003_Nokia test_10.876824_106.6782506.jpg
41,kg7nx_ngochanpham274@gmail.com_2024-12-12 10_24_29_No2-_0.01ppm_001_Nokia test_10.8768404_106.6782455.jpg,0.01,001_Nokia test_10.8768404_106.6782455.jpg
42,kiW1u_ngochanpham274@gmail.com_2024-12-12 10_45_59_No2-_9ppm_001_Nokia test_10.876824_106.6782506.jpg,9,001_Nokia test_10.876824_106.6782506.jpg
43,KtA1I_ngochanpham274@gmail.com_2024-12-12 10_43_52_No2-_5ppm_002_Nokia test_10.876824_106.6782506.jpg,5,002_Nokia test_10.876824_106.6782506.jpg
44,l9Miz_ngochanpham274@gmail.com_2024-12-12 10_43_21_No2-_4ppm_002_Nokia test_10.876824_106.6782506.jpg,4,002_Nokia test_10.876824_106.6782506.jpg
45,laYrC_ngochanpham274@gmail.com_2024-12-12 10_27_48_No2-_0.025ppm_001_Nokia test_10.8768404_106.6782455.jpg,0.025,001_Nokia test_10.8768404_106.6782455.jpg
46,ldBUp_ngochanpham274@gmail.com_2024-12-12 10_32_45_No2-_0.075ppm_002_Nokia test_10.8768404_106.6782455.jpg,0.075,002_Nokia test_10.8768404_106.6782455.jpg
47,lW5ED_ngochanpham274@gmail.com_2024-12-12 10_35_09_No2-_0.1ppm_003_Nokia test_10.8768404_106.6782455.jpg,0.1,003_Nokia test_10.8768404_106.6782455.jpg
48,mKwHs_ngochanpham274@gmail.com_2024-12-12 10_44_02_No2-_5ppm_003_Nokia test_10.876824_106.6782506.jpg,5,003_Nokia test_10.876824_106.6782506.jpg
49,njnJA_ngochanpham274@gmail.com_2024-12-12 10_31_50_No2-_0.06ppm_003_Nokia test_10.8768404_106.6782455.jpg,0.06,003_Nokia test_10.8768404_106.6782455.jpg
50,o3MBV_ngochanpham274@gmail.com_2024-12-12 10_33_20_No2-_0.08ppm_001_Nokia test_10.8768404_106.6782455.jpg,0.08,001_Nokia test_10.8768404_106.6782455.jpg
51,OasCX_ngochanpham274@gmail.com_2024-12-12 10_37_20_No2-_0.4ppm_003_Nokia test_10.8768404_106.6782455.jpg,0.4,003_Nokia test_10.8768404_106.6782455.jpg
52,oJZoh_ngochanpham274@gmail.com_2024-12-12 10_30_23_No2-_0.05ppm_002_Nokia test_10.8768404_106.6782455.jpg,0.05,002_Nokia test_10.8768404_106.6782455.jpg
53,oUJZU_ngochanpham274@gmail.com_2024-12-12 10_37_09_No2-_0.4ppm_002_Nokia test_10.8768404_106.6782455.jpg,0.4,002_Nokia test_10.8768404_106.6782455.jpg
54,PMnNz_ngochanpham274@gmail.com_2024-12-12 10_44_12_No2-_6ppm_001_Nokia test_10.876824_106.6782506.jpg,6,001_Nokia test_10.876824_106.6782506.jpg
55,pN83L_ngochanpham274@gmail.com_2024-12-12 10_28_59_No2-_0.04ppm_001_Nokia test_10.8768404_106.6782455.jpg,0.04,001_Nokia test_10.8768404_106.6782455.jpg
56,pOIEH_ngochanpham274@gmail.com_2024-12-12 10_39_48_No2-_0.8ppm_003_Nokia test_10.8768404_106.6782455.jpg,0.8,003_Nokia test_10.8768404_106.6782455.jpg
57,q9Dem_ngochanpham274@gmail.com_2024-12-12 10_44_23_No2-_6ppm_002_Nokia test_10.876824_106.6782506.jpg,6,002_Nokia test_10.876824_106.6782506.jpg
58,QbzjR_ngochanpham274@gmail.com_2024-12-12 10_32_41_No2-_0.075ppm_001_Nokia test_10.8768404_106.6782455.jpg,0.075,001_Nokia test_10.8768404_106.6782455.jpg
59,Qgoq2_ngochanpham274@gmail.com_2024-12-12 10_42_45_No2-_2.5ppm_002_Nokia test_10.876824_106.6782506.jpg,2.5,002_Nokia test_10.876824_106.6782506.jpg
60,QhGzR_ngochanpham274@gmail.com_2024-12-12 10_33_30_No2-_0.08ppm_002_Nokia test_10.8768404_106.6782455.jpg,0.08,002_Nokia test_10.8768404_106.6782455.jpg
61,qkCJV_ngochanpham274@gmail.com_2024-12-12 10_31_26_No2-_0.06ppm_001_Nokia test_10.8768404_106.6782455.jpg,0.06,001_Nokia test_10.8768404_106.6782455.jpg
62,QMYUB_ngochanpham274@gmail.com_2024-12-12 10_26_34_No2-_0.02ppm_002_Nokia test_10.8768404_106.6782455.jpg,0.02,002_Nokia test_10.8768404_106.6782455.jpg
63,QpHxs_ngochanpham274@gmail.com_2024-12-12 10_41_39_No2-_1ppm_002_Nokia test_10.876824_106.6782506.jpg,1,002_Nokia test_10.876824_106.6782506.jpg
64,QyOpY_ngochanpham274@gmail.com_2024-12-12 10_39_27_No2-_0.8ppm_001_Nokia test_10.8768404_106.6782455.jpg,0.8,001_Nokia test_10.8768404_106.6782455.jpg
65,R2t2p_ngochanpham274@gmail.com_2024-12-12 10_42_56_No2-_2.5ppm_003_Nokia test_10.876824_106.6782506.jpg,2.5,003_Nokia test_10.876824_106.6782506.jpg
66,rfsez_ngochanpham274@gmail.com_2024-12-12 10_41_28_No2-_1ppm_001_Nokia test_10.876824_106.6782506.jpg,1,001_Nokia test_10.876824_106.6782506.jpg
67,S3JpO_ngochanpham274@gmail.com_2024-12-12 10_45_06_No2-_7.5ppm_003_Nokia test_10.876824_106.6782506.jpg,7.5,003_Nokia test_10.876824_106.6782506.jpg
68,S5Rjt_ngochanpham274@gmail.com_2024-12-12 10_45_26_No2-_8ppm_001_Nokia test_10.876824_106.6782506.jpg,8,001_Nokia test_10.876824_106.6782506.jpg
69,sxrm4_ngochanpham274@gmail.com_2024-12-12 10_38_15_No2-_0.6ppm_001_Nokia test_10.8768404_106.6782455.jpg,0.6,001_Nokia test_10.8768404_106.6782455.jpg
70,t0bmh_ngochanpham274@gmail.com_2024-12-12 10_35_45_No2-_0.2ppm_002_Nokia test_10.8768404_106.6782455.jpg,0.2,002_Nokia test_10.8768404_106.6782455.jpg
71,tDV8X_ngochanpham274@gmail.com_2024-12-12 10_46_15_No2-_9ppm_003_Nokia test_10.876824_106.6782506.jpg,9,003_Nokia test_10.876824_106.6782506.jpg
72,TSU1K_ngochanpham274@gmail.com_2024-12-12 10_29_11_No2-_0.04ppm_002_Nokia test_10.8768404_106.6782455.jpg,0.04,002_Nokia test_10.8768404_106.6782455.jpg
73,TUOM0_ngochanpham274@gmail.com_2024-12-12 10_46_06_No2-_9ppm_002_Nokia test_10.876824_106.6782506.jpg,9,002_Nokia test_10.876824_106.6782506.jpg
74,u9zzd_ngochanpham274@gmail.com_2024-12-12 10_45_34_No2-_8ppm_002_Nokia test_10.876824_106.6782506.jpg,8,002_Nokia test_10.876824_106.6782506.jpg
75,unhYT_ngochanpham274@gmail.com_2024-12-12 10_37_38_No2-_0.5ppm_001_Nokia test_10.8768404_106.6782455.jpg,0.5,001_Nokia test_10.8768404_106.6782455.jpg
76,v1d5f_ngochanpham274@gmail.com_2024-12-12 10_40_16_No2-_0.9ppm_002_Nokia test_10.8768404_106.6782455.jpg,0.9,002_Nokia test_10.8768404_106.6782455.jpg
77,vmpY6_ngochanpham274@gmail.com_2024-12-12 10_31_38_No2-_0.06ppm_002_Nokia test_10.8768404_106.6782455.jpg,0.06,002_Nokia test_10.8768404_106.6782455.jpg
78,W3nkM_ngochanpham274@gmail.com_2024-12-12 10_42_22_No2-_2ppm_003_Nokia test_10.876824_106.6782506.jpg,2,003_Nokia test_10.876824_106.6782506.jpg
79,WE3Dz_ngochanpham274@gmail.com_2024-12-12 10_37_48_No2-_0.5ppm_002_Nokia test_10.8768404_106.6782455.jpg,0.5,002_Nokia test_10.8768404_106.6782455.jpg
80,WGCCS_ngochanpham274@gmail.com_2024-12-12 10_34_18_No2-_0.09ppm_002_Nokia test_10.8768404_106.6782455.jpg,0.09,002_Nokia test_10.8768404_106.6782455.jpg
81,Y9qP7_ngochanpham274@gmail.com_2024-12-12 10_34_47_No2-_0.1ppm_001_Nokia test_10.8768404_106.6782455.jpg,0.1,001_Nokia test_10.8768404_106.6782455.jpg
82,yQHwX_ngochanpham274@gmail.com_2024-12-12 10_25_28_No2-_0.01ppm_003_Nokia test_10.8768404_106.6782455.jpg,0.01,003_Nokia test_10.8768404_106.6782455.jpg
83,YRfjq_ngochanpham274@gmail.com_2024-12-12 10_34_56_No2-_0.1ppm_002_Nokia test_10.8768404_106.6782455.jpg,0.1,002_Nokia test_10.8768404_106.6782455.jpg
84,Z2XQv_ngochanpham274@gmail.com_2024-12-12 10_46_51_No2-_10ppm_003_Nokia test_10.876824_106.6782506.jpg,10,003_Nokia test_10.876824_106.6782506.jpg
